trade_id,symbol,open_date_time,volume,side,open_price,initial_stop_loss,take_profit,close_date_time,swap,commission,profit,close_reason,candle_patterns
M963704386454196,NZDUSD,2025-01-02T20:35:32,0.16,SELL,0.55938,0.55976,0.55846,2025-01-02T21:55:15.143,-0.23,-0.4,-4.07,CLOSE_REASON_USER,"['CDL_BELTHOLD', 'CDL_LONGLINE', 'CDL_SHORTLINE']"
M963704386454211,BTCUSDC,2025-01-02T20:46:08,0.01,BUY,97460.0,97014.2,98443.5,2025-01-02T20:55:20.023,0.00,0.0,-1.99,CLOSE_REASON_USER,"['CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_INSIDE', 'CDL_LONGLINE', 'CDL_MARUBOZU']"
M963704386454439,USDJPY,2025-01-02T23:49:48,0.05,SELL,157.48,157.61,157.2,2025-01-03T00:35:33.768,0.00,-0.13,2.28,CLOSE_REASON_STOP_LOSS,"['CDL_ADVANCEBLOCK', 'CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_DOJI_10_0.1', 'CDL_GRAVESTONEDOJI', 'CDL_LONGLEGGEDDOJI', 'CDL_LONGLINE', 'CDL_MARUBOZU', 'CDL_SHORTLINE', 'CDL_STALLEDPATTERN']"
M963704386454444,GBPJPY,2025-01-02T23:56:55,0.02,SELL,194.78,195.06,194.14,2025-01-03T01:37:04.52,0.00,-0.05,-2.39,CLOSE_REASON_STOP_LOSS,"['CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_LONGLINE', 'CDL_MARUBOZU']"
M963704386454455,EURUSD,2025-01-03T00:02:46,0.05,BUY,1.02694,1.0258,1.02973,2025-01-03T03:51:07.756,0.00,-0.13,0.04,CLOSE_REASON_STOP_LOSS,"['CDL_BELTHOLD', 'CDL_HIKKAKE', 'CDL_INSIDE', 'CDL_LONGLINE']"
M963704386454458,AUDUSD,2025-01-03T00:02:52,0.14,BUY,0.62034,0.61989,0.62135,2025-01-03T00:46:16.637,0.00,-0.35,13.44,CLOSE_REASON_TAKE_PROFIT,"['CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_DOJI_10_0.1', 'CDL_DRAGONFLYDOJI', 'CDL_GRAVESTONEDOJI', 'CDL_HAMMER', 'CDL_HIGHWAVE', 'CDL_LONGLEGGEDDOJI', 'CDL_LONGLINE', 'CDL_RICKSHAWMAN', 'CDL_SHORTLINE', 'CDL_SPINNINGTOP', 'CDL_TAKURI']"
M963704386454470,US500,2025-01-03T00:06:25,0.29,BUY,5868.0,5847.6,5917.3,2025-01-03T12:33:38.158,0.00,-0.05,2.16,CLOSE_REASON_USER,"['CDL_ADVANCEBLOCK', 'CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_ENGULFING', 'CDL_HIGHWAVE', 'CDL_LONGLINE', 'CDL_SHORTLINE', 'CDL_SPINNINGTOP']"
M963704386454607,USDCAD,2025-01-03T01:40:47,0.09,SELL,1.43932,1.44003,1.43758,2025-01-03T04:37:32.008,0.00,-0.23,0.85,CLOSE_REASON_STOP_LOSS,"['CDL_DOJI_10_0.1', 'CDL_ENGULFING', 'CDL_GRAVESTONEDOJI', 'CDL_INSIDE', 'CDL_LONGLEGGEDDOJI', 'CDL_SHORTLINE', 'CDL_SPINNINGTOP']"
M963704386454610,GBPJPY,2025-01-03T01:50:45,0.07,SELL,194.85,194.96,194.61,2025-01-03T02:15:24.329,0.00,-0.18,-4.81,CLOSE_REASON_STOP_LOSS,"['CDL_CLOSINGMARUBOZU', 'CDL_DOJI_10_0.1', 'CDL_DRAGONFLYDOJI', 'CDL_HIGHWAVE', 'CDL_LONGLEGGEDDOJI', 'CDL_LONGLINE', 'CDL_SHORTLINE', 'CDL_SPINNINGTOP', 'CDL_TAKURI']"
M963704386454611,AUDUSD,2025-01-03T01:58:08,0.16,BUY,0.62122,0.62083,0.62206,2025-01-03T03:36:28.733,0.00,-0.4,-4.32,CLOSE_REASON_STOP_LOSS,"['CDL_DOJI_10_0.1', 'CDL_HANGINGMAN', 'CDL_HIGHWAVE', 'CDL_INSIDE', 'CDL_LONGLEGGEDDOJI', 'CDL_RICKSHAWMAN', 'CDL_SHORTLINE', 'CDL_SPINNINGTOP']"
M963704386454624,BTCUSDC,2025-01-03T02:05:28,0.02,SELL,96827.4,97133.1,96098.3,2025-01-03T02:15:45.996,0.00,0.0,-6.19,CLOSE_REASON_STOP_LOSS,"['CDL_3OUTSIDE', 'CDL_BELTHOLD', 'CDL_DOJI_10_0.1', 'CDL_ENGULFING', 'CDL_HARAMI', 'CDL_HARAMICROSS', 'CDL_HIGHWAVE', 'CDL_HIKKAKE', 'CDL_INSIDE', 'CDL_LONGLEGGEDDOJI', 'CDL_LONGLINE', 'CDL_RICKSHAWMAN', 'CDL_SHORTLINE', 'CDL_SPINNINGTOP']"
M963704386454635,NZDUSD,2025-01-03T02:16:22,0.14,BUY,0.56041,0.55994,0.5614,2025-01-03T07:16:44.192,0.00,-0.35,-0.28,CLOSE_REASON_STOP_LOSS,"['CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_HIKKAKE', 'CDL_INSIDE', 'CDL_LONGLINE', 'CDL_MARUBOZU', 'CDL_SPINNINGTOP']"
M963704386454651,US30,2025-01-03T02:21:22,0.1,BUY,42466.85,42373.27,42702.04,2025-01-03T12:33:32.344,0.00,-0.03,2.72,CLOSE_REASON_USER,"['CDL_ADVANCEBLOCK', 'CDL_BELTHOLD', 'CDL_CLOSINGMARUBOZU', 'CDL_HARAMI', 'CDL_HIKKAKE', 'CDL_INSIDE', 'CDL_LONGLINE', 'CDL_MARUBOZU', 'CDL_SHOOTINGSTAR']"
M963704386454739,AUDUSD,2025-01-03T03:45:48,0.2,BUY,0.62115,0.62083,0.62185,2025-01-03T05:09:58.688,0.00,-0.5,13.00,CLOSE_REASON_TAKE_PROFIT,"['CDL_BELTHOLD', 'CDL_HAMMER', 'CDL_HIKKAKE', 'CDL_INSIDE', 'CDL_LONGLINE', 'CDL_SHORTLINE']"
M963704386454755,EURUSD,2025-01-03T03:59:45,0.13,BUY,1.0271,1.0266,1.0283,2025-01-03T04:02:13.764,0.00,-0.33,-1.96,CLOSE_REASON_STOP_LOSS,"['CDL_BELTHOLD', 'CDL_HAMMER', 'CDL_HANGINGMAN', 'CDL_HIGHWAVE', 'CDL_LONGLINE', 'CDL_SPINNINGTOP']"
